line,city,special,kind2,cover,blocks_worked,blocks,svc_wd_hit,miss_cell_pct
NP0011998,杭州市,False,区块缺了没开,0.986,5,6,0.82,7.7
NP0012033,南京市,True,特殊·换人/归属待查,0.25,1,2,0.188,60.0
NP8800017,泉州市,False,区块全开·星期照做,0.935,5,5,0.92,0.0
NP8800018,泉州市,False,区块全开·星期照做,0.913,8,8,0.922,8.3
NP8800045,昆明市,False,区块全开·星期照做,0.95,5,5,0.812,0.0
NP8800052,佛山市,False,区块全开·星期自己定,0.965,7,7,0.627,0.0
NP8800054,湛江市,False,区块全开·星期照做,1.0,12,12,0.972,0.0
NP8800075,郑州市,False,区块全开·店和星期都有欠,0.79,6,6,0.694,17.9
NP8800079,武汉市,False,区块全开·星期照做,0.918,6,6,0.846,3.4
NP8800110,上海市,False,区块缺了没开,0.447,6,8,0.342,11.5
NP8800114,无锡市,False,区块缺了没开,0.707,5,6,0.513,16.0
NP8800119,惠州市,False,区块缺了没开,0.894,6,7,0.766,5.3
NP8800166,西宁市,False,区块全开·星期照做,0.937,6,6,0.938,0.0
NP8800190,嘉兴市,False,区块全开·星期照做,0.964,7,7,0.852,0.0
NP8800197,襄阳市,False,区块缺了没开,0.667,7,9,0.286,28.6
NP8800212,洛阳市,False,区块全开·星期自己定,0.768,6,6,0.513,31.2
NP8800236,商丘市,True,特殊·换人/归属待查,0.677,10,12,0.176,13.6
NP8800246,衡阳市,False,区块全开·星期照做,0.991,5,5,0.975,0.0
NP8800253,天津市,True,特殊·换人/归属待查,0.5,8,10,0.039,30.8
NP8800254,宝鸡市,False,区块缺了没开,0.8,5,6,0.57,18.2
NP8800295,芜湖市,False,区块全开·店和星期都有欠,0.765,5,5,0.754,0.0
NP8800323,370800,False,区块全开·店和星期都有欠,0.533,6,6,0.375,47.4
NP8800351,安阳市,False,区块全开·星期自己定,0.793,10,11,0.775,16.0
NP8800357,广州市,False,区块全开·星期照做,0.899,12,13,0.859,7.4
NP8800371,潍坊市,True,特殊·换人/归属待查,0.406,10,10,0.018,22.2
NP8800391,广州市,False,区块全开·星期照做,0.885,5,5,0.912,0.0
NP8800398,眉山市,True,特殊·换人/归属待查,0.068,1,9,0.037,88.9
NP8800409,徐州市,False,区块全开·店和星期都有欠,0.778,12,12,0.551,3.4
NP8800414,菏泽市,False,区块全开·星期照做,0.883,7,7,0.855,6.2
NP8800415,330500,True,特殊·换人/归属待查,0.208,2,2,0.167,57.1
NP8800420,南阳市,True,特殊·换人/归属待查,0.448,6,11,0.175,53.6
NP8800426,盐城市,False,区块缺了没开,0.415,10,14,0.395,50.0
NP8800445,赤峰市,False,区块缺了没开,0.592,16,19,0.277,27.6
NP8800446,中山市,False,区块全开·星期照做,0.983,9,9,0.968,3.1
NP8800449,长春市,False,区块缺了没开,0.733,7,8,0.696,5.3
NP8800460,清远市,False,区块全开·星期照做,1.0,16,16,0.835,0.0
NP8800465,哈尔滨市,False,区块全开·店和星期都有欠,0.635,6,6,0.477,22.7
NP8800476,莆田市,False,区块全开·星期照做,1.0,15,15,1.0,0.0
